RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2001-02-01,2001-03-01,2001-04-01,2001-05-01,2001-06-01,2001-07-01,2001-08-01,2001-09-01,2001-10-01,2001-11-01,2001-12-01,2002-01-01,2002-02-01,2002-03-01,2002-04-01,2002-05-01,2002-06-01,2002-07-01,2002-08-01,2002-09-01,2002-10-01,2002-11-01,2002-12-01,2003-01-01,2003-02-01,2003-03-01,2003-04-01,2003-05-01,2003-06-01,2003-07-01,2003-08-01,2003-09-01,2003-10-01,2003-11-01,2003-12-01,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01
69487,435,27703,zip,NC,NC,Durham,"Durham-Chapel Hill, NC",Durham County,182968.06179879908,183209.7300062336,183600.2056641646,184014.70893696867,184955.0322482695,185928.95982271663,187218.01487943134,188187.57803999019,189207.97627801402,190155.52794448697,190787.6343401187,191198.64817651524,191092.71495153182,191176.17211519842,191204.65003883306,191687.30171116142,191801.3932870805,191830.4318511882,191989.14834023392,192318.9095,192519.62947971278,192469.32760263598,192281.23145131153,192273.62206286276,192416.3936994856,192680.75512626293,192839.26999856698,192933.0887353582,193128.43830631705,193414.5200617773,193639.61167037397,193868.09197403654,194304.76059157948,194676.3189674977,195096.0617209169,195549.97308996296,196249.5999267753,196830.3034494106,197160.98951768587,197418.59640537668,197630.32541010753,197827.40993304667,197970.98632847177,198327.80455071284,198717.6229101636,199122.5455031028,199378.05671235782,199645.87238778974,199911.73322115315,200021.1026606474,199975.5185,199846.65058596307,199936.47096258448,200175.1178519019,200537.46698972688,200911.2036158154,201508.01615630471,202088.06554985454,202498.4629016792,202802.56143722436,203058.42116720963,203461.17696651272,203702.69661720842,204183.42366635482,204739.73908743888,205489.97189345563,205976.4646717504,206473.77803578821,206762.9534189607,207104.32639890458,207396.35027432992,207730.81425780515,208213.5630535239,208628.7387635893,209080.8960211314,209438.95357291025,209887.4806627065,210346.24974099523,210938.72801978153,211391.9257755707,211763.96470193763,211748.74782024595,211737.28934765432,211586.04533914686,211445.99958269848,211149.2667741185,210554.1778165734,210122.39336842942,209679.0797405115,209530.35602527112,208559.16881086747,207369.57745556778,205982.1507182695,204810.90472580632,203645.11982666413,202829.98820580053,202397.69331289455,201889.85086635235,200722.71014504784,199468.71892294625,198269.30675401972,197380.9854982523,196287.9715846303,195499.83240387237,195018.3292910847,194824.29627244067,194435.1467131042,194300.76982148926,194451.0551512444,194861.5568959082,195149.09341622386,195034.86340331053,194679.5888006081,193690.09650104094,192625.3504265774,191598.6390356015,190537.84798180228,189525.95902449358,188229.3787048308,187217.27557660278,186199.89983479035,185078.7794797792,183701.37929021064,182035.62950165875,180275.56842323134,178401.77565717945,176626.2719,174926.99389692434,173181.19364344078,171554.4227642518,169773.05079262002,168180.78564430468,166515.43395185817,165403.03226993422,164789.73913024855,164408.98342281685,163926.38889666038,163248.9325289443,162083.33178549644,160889.34030970026,159415.1646979114,158331.9545071686,157678.96372580485,157326.52646777607,157190.42532905596,157527.33697549664,158627.60628199062,160460.3623733258,162367.12373713774,163984.42201747224,165426.92330168758,166570.21460495584,167800.57884166553,168787.13775120553,169836.4454588976,170838.50477425978,171952.10585171802,173052.42026803645,174248.65770980282,175303.22461218937,176131.5468308018,176602.24282121003,177021.32655993837,177169.3687928345,177226.5488747329,177558.52589524697,178324.99877284048,179414.39026217893,180586.45294818212,181607.79214658946,182514.2409878909,183175.6910805693,183845.33681398936,184654.14303348874,185747.15419965796,186964.96432008874,188282.0537987818,189431.5981792258,190822.07155429813,192131.0271688951,193544.00431973525,194521.3098,195655.25929455433,196732.7173929452,197922.7743339373,198765.34732625991,199816.54673551195,201064.14443796664,202613.59450032774,203980.9055075513,205459.8228875265,206736.60871905726,208250.31641364796,209491.16770191258,210730.48576296374,211526.06282067884,212503.9951664027,213585.4324732514,215069.84495334388,216667.7246,218608.56029801082,220423.37921865357,222215.03435451668,223869.41333010225,225613.3735256167,227538.08865166557,229356.0016786043,231139.33156765494,232743.24116722308,234468.37546232098,236337.4623732512,238302.84222327507,240233.95538090332,242114.27214263097,243913.81726863538,245450.67925173778,246699.5824034261,247813.33220948302,248832.24961522172,249842.45271821643,250982.65769580923,252456.20903425265,254347.39368169385,256114.66752190492,257992.32887050335,259845.9862204719,261764.25863750142,263369.81263467687,264741.94038454205,266199.81978986325,267544.48723615357,268233.92972934677,268496.88529073674,269282.27074959927,271307.95363405655,274531.19447786687,278396.58595089335,282464.10386881937,286467.3307695563,290286.58391298406,294410.3782141388,298925.45642314403,304135.4874509422,309964.8405639218,316490.65887579374,323712.62611247465,331016.59882227174,338176.4082055225,345067.13231758773,352145.1582616369,359454.6441639603,367495.4473,376011.2654401835,386067.4182992312,396928.1873417166,407735.85869088134,416276.5977081649,420666.8632018434,420599.23631483177,417590.2547097574,413871.5398905282,410082.5113756713,405902.88394344394,401658.6261149969,398240.91257951176,396207.6452166629,395439.5964477007,396156.4046773273,398347.6729515525,401158.8184215525,403611.4708014981,405014.73075920827,406015.24518130074,406706.98356868135,407130.91051812953,407385.41163963854,408348.8746714825,410341.80112974206,412413.49202923855,413413.6158,413001.75533125846,412203.05513941665,411525.6370825222,411191.2718957793,410537.8862983521,410050.7092248306,409698.9466323775,409570.6866161384,409214.4247669124,408541.6044933549,407722.7181
69497,578,27713,zip,NC,NC,Durham,"Durham-Chapel Hill, NC",Durham County,176153.00033464233,176156.89082941628,176437.67914748975,176698.93515610808,177267.23580041432,177663.28730368722,178298.1484408326,178684.13495557872,179209.3404202536,179689.13914135634,180364.89702560942,180935.95782095054,181078.31326759103,181399.92313898238,181880.34226911704,182875.15181166164,183484.95364770875,183945.8080304273,184268.75851018287,184581.25190038522,184821.44934880163,185216.98900233442,185879.2060162482,186624.6162834752,187269.5946443352,187700.00967523013,188105.7398508538,188500.0684747921,188896.8348664304,189216.91802183088,189437.01380921845,189564.59185866252,189749.7416150672,190098.31204391888,190703.61177954308,191353.59336705157,191955.7168037739,192294.96658475325,192579.10046345534,192889.52174315366,193339.75946249944,193781.5452257692,194101.91121548205,194355.51400559218,194674.86590507804,195209.28447317623,195914.47658201805,196611.94604679485,197214.85282278413,197695.0745658672,198217.83410265818,198769.76796557498,199532.81851901262,200328.5319665072,201127.23782637878,201759.65630426886,202373.53903318522,202917.94717027477,203540.19633122173,204104.28073393452,204584.46757412888,204993.60912032542,205305.3602176792,205848.78403441826,206385.1924822001,207070.39111970263,207626.3379201675,208272.43687332733,208806.78839885574,209348.28299226053,209867.59058537488,210428.9621646467,211132.92498999144,211780.74424235206,212462.38262979337,213153.2324582031,214022.56118528437,215011.50118534322,215904.70799755407,216683.85636958884,217387.6043132187,217897.59922211015,218208.1467423753,218332.26908398545,218461.8598086003,218719.0820641831,218859.8027,218753.83771589329,218306.67735458902,217773.62671725752,216963.90310432107,215950.52178938975,214864.0892060935,213929.29818414905,213045.55983028898,212456.10048067488,211980.1766105025,211490.9336668329,210381.25788551779,209462.3713026772,208761.12826196363,208535.02043193168,208018.78119614153,207746.28188048574,207650.5706716932,207909.82470113927,207891.79161144522,208123.13508168425,208464.51847321048,209249.3159121684,210093.51823048436,210728.63255519513,210893.4963626737,210367.3534158635,209664.08713480135,209021.21326360546,208301.03651970113,207758.39089203355,207131.50619563682,206614.97435584047,206104.99235330473,205626.11558784635,205030.9907977162,203945.37390951123,202407.38961781794,200797.65262244781,199094.33169406708,197670.8754507207,196211.8575770168,195057.94684269888,194056.97878154833,193340.94605748434,192687.42341234852,191972.20384927772,191277.0603667713,190561.90022367123,189969.19524025766,189388.06079769428,188992.86414241706,188947.12866718878,189231.0444137374,189541.0449540042,189767.28451559632,189827.66963538437,190186.91697893105,190663.0124536186,191382.35534664232,192095.97333713682,192848.59917673442,193461.11715260916,194108.8527,194809.3293374566,195847.48702712255,196732.7589692029,197451.7455219199,197759.61585932563,198267.65443902081,199086.4649882159,200279.40437158433,201422.79021169385,202043.3403,202370.29086240436,202436.66110446455,202521.31879439612,202391.25277100425,202666.34947401448,203263.8461381118,204181.41767032142,205183.2095071097,206073.86165725192,206891.5286099758,207445.02447280174,207927.01133801948,208491.9051018764,209441.78395469196,210624.35300620235,212071.3502543808,213304.56029951957,214648.6595939774,216008.41884184207,217436.98531215396,218558.8093,219794.3638,221059.3120581664,222517.73221686672,223690.70358229126,224861.0554703822,226185.04155437739,227722.56379400287,229171.68855859805,230738.6463555733,232101.69969634406,233678.97760169278,234933.10940678456,236416.31403620934,237644.1341822741,239047.70917690135,240268.08070864808,241782.62236637334,243169.97838248278,244726.54599689532,246105.06803261294,247728.48071047978,249511.01551166855,251367.6234433433,253354.1476775039,255173.26671284073,256889.9714873629,258389.41323327503,259913.53246256933,261438.48298659583,262874.01478258875,264144.91627314454,265446.3495,266781.11698745255,267988.25776876876,269037.5899005073,270183.68343576015,271415.3802048003,272658.1523609558,273871.4739483015,275047.00073413184,276465.2935369485,277616.3349182494,278907.57810631645,280146.1023464752,281468.19194378034,282646.30000683904,283812.50293162355,285281.4035129368,286839.5986439716,287849.1818567742,288419.59081468254,289336.2326426636,291426.1296583964,,298935.53070868313,303071.5507,306776.5381025171,310241.81975034444,314332.2669,319080.9016859539,324564.64741407445,330771.9616503269,338019.2818986128,345764.18812118744,353140.68409830425,359777.83445196366,366136.31750315445,372803.5329634722,379748.1670941072,388071.8750288875,397353.17400280037,408609.5798035488,420796.93190355256,432949.8732458765,442723.8314,447753.37104811234,447758.0496016944,444372.6487971744,440199.70941335615,435882.41311028524,431277.2063289397,426741.6580956184,423388.37358918996,421546.1015825043,421194.7275618035,422522.4472448442,425564.98250773083,429342.17798396066,432802.3115920915,435336.8172559196,437382.05505484174,438963.6130491916,439906.9545090061,439975.48699105467,440664.56510916987,442728.58233872865,445212.8032323534,446861.38997656346,446955.8195605742,446866.2366300083,446381.0055147796,446331.2655881078,446235.8996295601,447005.3988964258,447997.96394264715,448606.14022017474,448296.4898002217,447628.0474772439,447227.21351518267
69491,1055,27707,zip,NC,NC,Durham,"Durham-Chapel Hill, NC",Durham County,156009.57039717823,156132.01543182577,156285.54520556514,156430.29576120988,156655.24891055343,156849.56210586324,157349.56852558546,157871.69358793972,158782.4137,159745.40588892667,160667.12994183414,161293.12038443316,161313.81207045075,161513.93945808467,161692.08070993642,162247.1268485406,162289.04711094507,162215.6977570788,162149.58953691556,162405.0575389045,162883.8948887406,163552.31086569114,164198.81435938922,164671.3695136654,165094.9676326605,165560.0088906116,165934.8971257935,166316.9424081611,166568.5269885121,166916.88230862597,167199.01438957616,167568.05439511538,168108.66774212997,168675.86065634145,169311.9018834009,169936.97756909087,170563.71742529832,171098.57381938674,171427.14369453723,171572.5800493327,171517.85651328263,171302.8918401418,171150.2681748049,171214.5042575645,171625.4874,172334.79380251418,173091.94099087323,173731.28746910585,174214.3666947462,174561.31518184615,174756.5949,174905.4694076496,175092.9267839803,175562.4763878726,176113.41714419707,176968.90387556804,178013.0282212562,178984.99239631827,179838.3122255434,180439.67889972273,180829.58007962545,181147.09481351983,181228.0251657757,181509.46492826022,181890.46997646513,182522.57956245975,183068.39554738507,183574.70861615147,183953.18897561566,184378.32925060004,184791.57803712203,185235.89060961656,185931.62752403706,186639.82346532898,187345.65098650465,187849.52230905648,188190.46091733422,188611.06990436255,189081.9457086597,189674.85140182494,190236.70053731927,190596.0963040898,190818.8555462557,190992.4313569762,191267.05390156884,191728.30326371256,192012.49866433142,192083.27214644532,191783.24728569263,191267.4519517168,190697.60719017498,190033.63183739953,189531.75437368095,188951.17983663513,188407.39925744894,187918.80027508418,187644.63386248937,187307.43494273684,186538.78804663007,185886.30270532193,185297.49561195003,185065.8696456212,184455.33118074958,184381.6467261093,184634.68925485012,185143.05129237534,185218.6208572446,185430.3911404745,185775.18088691783,186564.95686844978,187591.79707451552,188493.83257258264,188707.7565234447,187924.20034174342,186880.8437088396,185931.37699952687,184997.60363467582,184333.6119233553,183723.86941728913,183590.91704414543,183487.95005328496,183349.4698557105,182880.40215587747,182078.65528195226,180922.72104849704,179614.59281561043,177947.8297,176409.9016699992,174991.13696036197,173970.24722242777,173075.88744301788,172317.10783875093,171632.25100342458,171270.39241920115,170968.65423746212,170547.09426413476,170140.4542984513,169652.33234973619,168846.86811651534,167878.31972786083,167010.2856943485,166600.60860587333,166651.6008678622,167143.74176598317,168002.1843939448,168995.5922596047,170013.11355294837,171242.51423569888,172402.14366440472,173252.1522692245,173758.87929849702,174265.27500892416,175281.6302282065,176345.8611558956,177069.6586780925,177593.83941434187,178349.25646644903,179650.04092152082,181128.64784762403,182643.24931159557,183858.12729423365,184630.1393293085,184947.4572812122,185109.84914288195,185257.16824379165,185829.33900130526,186863.52911529157,188361.3636264367,190277.91107630124,191854.14397166486,193025.5428828794,193690.36487398253,194436.9716743653,195294.42160053167,196117.9264919828,197031.24505535932,198324.38478554762,199650.31167605807,200977.33083838984,202241.71912372662,203843.54384585342,205092.16932518966,206535.24799426066,207879.40388003315,209857.4409,211634.82510569296,213939.08653007625,216176.79158848387,218338.31357093446,219948.01187496283,221466.48341560116,222780.22080412213,224279.29696785254,225683.4727107141,227463.24528857795,229214.7541804381,231007.41418352202,232429.21260387675,233707.78065329572,234921.13158832505,236605.75968138015,238451.44760587843,240395.1246970831,242335.27588927408,244429.60002605026,246797.09100905983,248989.9810762012,251046.90402530125,252796.8015760261,254660.99772549642,256720.25807385505,258726.75618762686,260412.3246538398,261655.35605121744,262827.4548699415,263779.1457666099,264427.1161783179,265091.2432336606,265848.00216758525,266905.14194063697,267986.2854308046,269110.48461166397,270543.2043,272085.98668236093,274177.4299,276450.86855403305,278687.0490264595,280449.7953526235,281640.6862598079,282978.3811998148,284117.07192829734,284728.9283987292,284931.6120954508,285884.8018724727,288369.9904373801,292393.3593359978,297324.57191066863,302473.48504491267,307000.1325589378,310610.62671969103,314706.22401626734,319643.7168615802,325970.4544746799,332883.9838736171,340185.79288505303,346883.6463425138,351895.0701452115,355475.3475720864,358732.1357941066,363029.99278192065,367964.6580742297,374934.0806461331,383440.37285994226,394352.4609022253,405801.1153890372,416487.9166200147,424467.28227135073,428030.60451002436,427071.8141784266,423667.1230830932,420275.29893501825,417252.2697855492,413853.8011657595,410238.2138,407467.6277396677,406220.61698265484,406686.9995304914,409042.22969843337,412742.8641196019,416372.8191798276,419180.5038055288,421208.4418337019,422967.12431826186,424476.85768405395,425080.15855958086,424880.29710374953,425046.5379026562,426960.4383707354,429132.9180986043,430598.8122268363,430472.63235131995,430104.24274568097,429649.5516133963,429621.0369526232,429800.27405991807,430151.9121276334,430690.4506286732,430890.2852840912,430615.15568331926,429817.80233075033,429167.07807619986
69489,1087,27705,zip,NC,NC,Durham,"Durham-Chapel Hill, NC",Durham County,183223.7950237907,183225.7324216704,183300.67606108953,183377.72453674325,183620.77124169294,183801.62548449892,184243.78573354078,184828.8957693705,185810.12166368382,186932.18286493933,187966.13284027032,188757.88354393432,188942.65583067527,189349.3840422711,189693.8902395893,190410.9663497956,190785.19872200626,191343.77383665947,191916.54294834632,192548.38842864288,193093.53651797643,193788.8199585681,194599.26213590582,195469.2515118885,196299.69989053396,196962.41293756396,197243.3448,197233.2458965662,197065.2600397189,197185.29785628777,197433.34526051427,197807.2449361212,198320.86001348714,198919.2332988419,199442.45429516459,199774.36855459175,200116.61132459049,200548.04195605544,200907.11014964257,201310.69529212103,201648.3775844709,202105.00722210176,202258.1326674975,202682.83264206114,203191.19550766537,204112.25928088158,204972.74329616214,205842.29260428358,206617.21842075128,207315.8273336643,207792.52906427975,208309.40390837437,208990.69697279227,209985.25230218167,210917.9202,211669.7122171563,212539.62340975017,213506.25666353726,214693.1046783355,215469.31301121766,215934.93966390842,216034.99971693335,215977.09172276422,215871.3786,215786.00685833205,215833.2316938551,215959.61825405722,216130.38113487887,216201.64365073715,216246.34666061602,216281.7240304366,216522.8488,217023.82204811877,217638.05523657743,218317.30042112537,219208.50107892707,220238.2909100027,221468.49594714295,222657.8729453413,223908.41327132192,225131.56493198036,226014.49069408048,226779.84401343446,227304.97150441413,227798.5788301873,228336.41312738275,228804.8720574345,229039.6667905576,229131.28302534096,228872.44215826597,228309.15894293474,227377.21314652218,226608.93135796112,225943.36605758933,225121.81093290358,224263.0642,223533.80297635726,222869.3795428671,221858.18134291106,221244.38878118797,220685.5593,220564.6767613875,220016.16298320578,219833.4592860192,219630.7768711817,219628.24328989562,219306.93942792443,219317.3711136249,219555.77172162663,220537.8691930174,221664.96680653142,222601.11012331094,222650.7666826217,221922.44415691364,221110.47780800346,220771.8222118092,220613.77451345263,220661.20954631144,220558.9103878313,220522.7070751084,220353.13266664007,219837.84322600727,218983.29886280943,217686.79300601766,216475.85073407576,215459.5371557531,214225.8608,212899.46354428507,211413.81506409027,210217.2809914567,209093.98930115765,208140.67122441318,207182.30311232837,206364.56352386242,205651.57166918126,205078.97837442474,204519.4926675934,204142.33964351387,203828.4573505137,203711.21856242509,203573.8468756119,203471.7093081126,203446.62490256643,203542.13463493928,204196.54959592884,205333.09196494435,206785.9080105104,208168.0012494029,209304.4795691522,210066.63695004568,210910.49991863585,211817.3078586486,213337.00790047357,214974.45405772855,216353.35982563868,217480.58276856938,218323.88421985685,219512.45767007812,220861.06375018452,222577.1852622131,224093.59799058014,225318.71219317405,226162.0576335377,226700.42324868587,226981.53207854638,227313.03387628275,228120.93716152772,229450.08791033007,231265.17774900075,233055.51642330052,234633.11493402216,235848.19170899587,236729.54169430025,237511.65432880155,238449.9117012953,239595.9658920532,240996.4618181171,242217.62905808448,243706.8634,245273.0078606469,247135.78703938695,248275.76977348703,249544.47382686823,250214.40230267213,251543.00395340347,252666.97189390784,254505.11394169883,256548.94921660473,258791.3728710957,260791.39194914862,262672.3967329086,264255.1113511408,266066.5141,267912.39984854945,270104.21050825604,272050.7341266777,273685.9642938781,274807.2512207929,275589.8801285194,276368.14420104126,277462.34452498844,278761.3947635729,280333.5300659809,281924.17953678267,283559.31901921815,285420.06166361837,287516.05092742614,289840.67563150637,292031.31645019556,293937.92303169897,295859.6759199058,297426.08460168936,298892.9801843426,300206.30494670855,301564.7298783136,302521.9379887262,302905.1687242754,303452.5808209433,304397.3638431749,305725.4802725411,307050.22473489144,308270.1862085248,309820.33630122914,311292.51663608267,313235.90046851005,315150.14160235645,317020.54027045384,318531.50812214013,319986.1821015309,321806.22346826195,323501.21065902576,324526.52479781845,324956.2514168057,325908.16071234556,328212.2117885262,332076.9418768934,336804.4906705777,341898.6040242725,346679.4680826534,350874.8994057009,355476.9486597243,360556.57623101753,366779.42477919493,373974.0519921601,381941.7595580744,389687.4323205727,395261.0253216499,398817.75174846797,401679.8641831708,405590.4483763643,410517.5632161125,417816.92348840856,427171.8177875844,439459.61090316065,452248.8302758957,463997.6925532308,473352.57746902364,478097.9663724878,478177.8314194332,474689.6758190286,471156.8382458945,467942.9571225625,464875.56140555395,461590.1198400424,458888.31291803234,457392.07276510267,457928.3255583549,461016.5406822635,465311.34979800275,469409.5946940854,472583.34755415533,475350.4818691504,477645.3680468339,479632.10358307423,480463.8949968526,480822.1085032995,482084.69903434464,485426.86296776007,489039.39985587395,491212.4991646833,490887.6346325753,489977.64166622376,488881.6847907002,488310.0045636716,487858.1545889498,487717.06343173963,488300.9463193223,488443.1515645241,488099.4874841113,487416.40293836786,487491.97334567615
69488,1873,27704,zip,NC,NC,Durham,"Durham-Chapel Hill, NC",Durham County,116768.15922770412,116896.75140726398,117124.88316252622,117483.98586182103,118036.71477527825,118615.31788283361,119275.22101311502,119845.87421074347,120378.82064095089,120831.55210762347,121180.14809082211,121532.4051,121719.87375893262,122274.1067132402,122955.41010247673,123851.78577758164,124416.57221155519,124880.94301374986,125399.45390217942,125908.36028805979,126132.71733921212,126138.48526104832,126064.22517841608,126148.23091799575,126493.0549851117,126848.4898549791,127116.3536430425,127317.28159133608,127455.5126453991,127753.82779809821,127947.54063344483,128205.92577287725,128460.52498355154,128434.51643133182,128301.30661687977,128193.10719926574,128472.59929763705,128848.93860222954,129046.29375070783,129080.33847663458,129179.46968984166,129360.46226998036,129562.47826866356,129796.30820438145,130096.5200671992,130473.90667668631,130885.09220008133,131334.29203592637,131857.61209651307,132285.63500418098,132520.84660267868,132692.69243477334,132836.6060920532,133070.9476941068,133245.17736646102,133528.81469021345,133823.26662184307,134184.76229913085,134421.4,134686.1797759192,134882.42971042753,135125.81245191584,135236.8358518297,135462.64879403124,135714.88278739186,136104.49058068226,136366.0081074577,136670.08192111718,136809.15326724466,136898.13245453752,136913.45302341937,136927.46292753002,137085.71631363715,137180.56409495976,137397.8266837589,137515.69476534324,137783.8127907104,138120.5028948729,138594.24080384467,138967.72458204816,139263.6974529371,139298.2310744636,139283.7682603826,139173.19471543893,139240.82522078685,139376.49291626175,139423.26610596443,139481.48542603102,139504.57832074564,139558.43445523057,139499.23141946364,139335.97144322426,139087.7804336055,138717.49625673433,138269.2900802612,137780.7329310267,137225.76809224885,136489.7717967875,135601.79454837533,134896.50784867897,134258.0715633089,133877.70216963004,133374.61699471253,133333.60592893822,133403.3651060035,133728.53266165731,133812.07113731065,134117.61060782513,134395.60032619824,134829.92404088815,135102.79347108642,135184.32549306823,134875.4797194697,134047.98736926055,132974.15009839588,131910.90726431922,130943.93666019698,130274.62948592911,129568.29707756238,128989.64894708083,128229.61796155479,127404.71728747156,126503.64156585511,125491.75102425941,124493.1572482023,123622.30593198894,122678.9706999897,121659.91194130584,120243.45894980883,118811.48469025578,117711.00913056156,117252.73072141867,116936.06886890548,116543.86259305885,116150.29298821017,116217.23726778656,116326.34413203037,116040.77540413478,114994.20385023393,113794.5627610513,112611.30534607824,111723.62541573225,110985.41162166295,110468.7881357115,110275.43977527118,110678.3466915284,111770.06601093564,113351.75740274195,115066.11501931296,116457.46812496251,117679.42091882737,118645.01865125318,119876.76646979478,120897.03505130783,121806.77660758146,122425.86218176632,123150.20969575232,124024.95024619375,125084.65310288714,126090.06579569376,126790.25581961038,127018.24309816479,127147.71748043748,127190.24309032345,127305.4897721925,127659.54395697813,128312.58514551337,129159.5725595778,130098.98988373578,130866.14638102999,131627.0097084251,132225.89279266275,132951.8957764469,133602.23757265546,134264.3522,134921.20312360232,135847.91770888097,136657.7645692154,137504.6435674414,138320.93248358121,139364.5974227628,140306.1214058802,141377.65664621152,142374.6076564597,143633.64244055128,144668.03749198365,146031.6172600475,147448.78779297916,149134.72145644494,150495.47278404192,151657.32295408027,152498.56173691203,153690.2054834424,154968.66978081307,156421.07936701237,157450.61440125175,158486.96008117692,159456.68199893142,160554.98923567287,161713.02261769943,163081.82419130497,164691.54807044103,166326.77911122932,167956.89504622665,169531.1824734925,171351.04604815386,173067.42175352716,174685.59990455364,175804.7367485587,176926.76099715984,178223.39413595825,179865.11440987978,181780.02819010513,183691.54859488536,185505.9632658714,186875.3405394674,187798.44999536328,188486.7806346802,189027.3257537917,189491.5167517932,190020.33476808525,190847.7566122423,192371.55508445785,194231.11941335342,196489.9530541756,198815.03544399256,201014.72742505404,202707.15487049974,204016.49625743247,205486.30529330132,206861.80386617742,207724.19262571787,208102.77156267446,209081.02898042832,211231.45714271325,214403.56784995468,218136.47933288888,222083.1544753582,225952.99992608165,229390.27948319903,232865.71178615908,236621.59040614104,240872.39491519448,245532.4887,250675.7706384413,255807.6894548369,260161.31199066795,263438.8376220136,266423.06414656993,269903.08699174394,274030.87373697286,279878.5039196602,287239.6715122075,296284.73404784454,305393.05066347827,313784.3252467814,320527.2284210049,324560.1030208345,325157.8260362676,323627.42432279594,321165.0170372758,318733.7765685856,315685.11639401497,312642.4184049423,310386.54098447686,309694.0900365228,310390.87073731795,312227.92475276283,314850.9216155981,317593.1441716987,319963.7222887616,321497.24569911073,322716.2912260233,323882.49451039545,324549.17395451805,324565.2012306251,324582.43239748763,325813.2526974534,327277.2545318286,328484.55878533144,328628.97831029166,328858.2725136531,328740.5127426838,328469.63191860385,327803.54164963245,327410.9934812681,327632.10356711195,328003.8774118927,328072.8613266297,327618.2002929473,327198.3681049914
